1png,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
1,1,-2,1,-2,-2,2,-2,0,-1,-1
2,0,-2,0,-2,-2,2,-1,0,0,-2
3,-2,-2,-2,-2,-1,2,-1,-1,0,-2
4,0,-1,1,-2,-2,2,-2,2,0,-1
5,1,1,2,-2,-1,2,-2,0,0,-1
6,-1,-2,-1,-2,-2,1,-2,-2,1,-2
7,-1,-1,-1,-2,-1,2,0,0,0,0
8,-1,-2,-2,-2,-2,2,-1,1,-2,-2
9,0,0,0,-1,0,1,0,-1,0,0
10,-1,-1,0,-1,-1,1,-2,1,0,-2
11,-1,-1,-1,-1,-1,1,-1,1,-1,-1
12,1,-2,1,-2,-1,2,-1,0,0,-1
13,-2,-2,0,-2,-1,2,-1,0,0,-1
14,0,-2,1,-2,-2,1,-2,0,0,-2
15,0,-1,1,-2,-2,2,0,1,-1,-1
16,-1,-2,-1,-1,-1,2,-1,0,0,-1
17,0,-1,0,-1,-1,1,1,0,0,0