Œ`—eŽŒ,1png,2png,3png,4png,5png,6png,7png,8png,9png,10png
1,-0.4117647,0,1.11764706,0.82352941,0.35294118,1.05882353,1.64705882,1.05882353,-0.2352941,1
2,-1.3529412,-0.2941176,0.70588235,0.58823529,-0.0588235,-0.3529412,0.76470588,0.52941176,-0.4705882,0.11764706
3,-0.0588235,0.11764706,1,1,0.35294118,1.35294118,1.52941176,1.76470588,0,0.29411765
4,-1.7058824,-1.3529412,1.70588235,1.58823529,0.70588235,-0.1764706,0.17647059,0.11767059,-0.8235294,0.35294118
5,-1.3529412,-1.1176471,-0.5294118,-1.0588235,0,-0.8235294,-0.2941176,0.11764706,-1,0.52941176
6,1.64705882,0.82352941,-1.1764706,-1.1176471,0.17647059,0.58823529,-0.8235294,0.17647059,0.41176471,-0.1176471
7,-1.0588235,-1.7647059,0.88235294,1.11764706,1.35294118,-1.0588235,-0.8235294,-0.9411765,-1.7647059,-1.7058824
8,0.11764706,-0.2352941,0.35294118,0.35294118,-1.5294118,0.41176471,0.76470588,0.58823529,-0.7058824,-1.2352941
9,-0.2352941,-0.1764706,1.35294118,1.17647059,1.70588235,-0.3529412,-0.1764706,0.411764471,0,1.47058824
10,-1.1764706,0,1.47058824,1.35294118,-0.125,-1.2352941,0.94117647,0.05882353,-1,1.35294118